predictor,B,SE,df,t,p_penalized,n_obs,n_unique_dyad,ROI,signal_type,stimulus,p_fdr,sig_uncorrected,sig_fdr
Loneliness,0.011390348806327506,0.012247996084377133,4184,0.9299765225150918,0.3524905367939831,8554,4186,rTPJ,HbR,Zima,0.9456473427482726,FALSE,FALSE
MW_state,-0.00931858976119977,0.012320005451380286,4184,-0.7563787043743354,0.44950733832469125,8554,4186,rTPJ,HbR,Zima,0.5056957556152777,FALSE,FALSE
MW_trait,0.014849234638363658,0.012145773818433899,4184,1.2225844857926351,0.22162439330316921,8554,4186,rTPJ,HbR,Zima,0.6066821117539569,FALSE,FALSE
PHQ9,0.005719226599394703,0.012346985088538693,4184,0.46320835073362776,0.6432632138805551,8554,4186,rTPJ,HbR,Zima,0.9586480050034798,FALSE,FALSE
GAD,0.011861199884949818,0.012343396559847482,4184,0.9609348470204523,0.33669597790891126,8554,4186,rTPJ,HbR,Zima,0.6166478644802098,FALSE,FALSE
SIAS,0.004334642560755068,0.012297503352058209,4184,0.35248151081248436,0.7245126885618265,8554,4186,rTPJ,HbR,Zima,0.8888714309100652,FALSE,FALSE
AQ10,0.004473936607083105,0.012327585667571176,4184,0.3629207476409755,0.7167007512335228,8554,4186,rTPJ,HbR,Zima,0.8735881104796294,FALSE,FALSE
ASRS,0.008584130624025951,0.012203719570281962,4184,0.7034028088395036,0.4818830309915918,8554,4186,rTPJ,HbR,Zima,0.9077374018723218,FALSE,FALSE
WHO5,-0.022876882392703458,0.012120317757839796,4184,-1.8874820652211022,0.05923382695853838,8554,4186,rTPJ,HbR,Zima,0.07615777751812078,FALSE,FALSE
Mindwandering_Zima,-0.006216171558844799,0.012349058737183739,4182,-0.5033720942736747,0.6147557082375846,8550,4184,rTPJ,HbR,Zima,0.6147557082375846,FALSE,FALSE
