subject,channel,mean_isc_z,signal_type,stimulus
64,ldlPFC,0.060743436019398835,HbO,Zima
64,rTPJ,0.05819370551091359,HbO,Zima
64,rdlPFC,0.053468696115790554,HbO,Zima
64,vmPFC,0.0447188161427857,HbO,Zima
65,dmPFC,0.04514007752462323,HbO,Zima
65,lTPJ,0.03901099702209734,HbO,Zima
65,ldlPFC,0.05384768941244139,HbO,Zima
65,rTPJ,0.04195437961844996,HbO,Zima
65,rdlPFC,0.0565856973876554,HbO,Zima
65,vmPFC,0.062086730487516124,HbO,Zima
66,dmPFC,0.05732056319061355,HbO,Zima
66,lTPJ,0.06402260278848142,HbO,Zima
66,ldlPFC,0.07079065877892582,HbO,Zima
66,rTPJ,0.06632918503852968,HbO,Zima
66,rdlPFC,0.0692993824882991,HbO,Zima
66,vmPFC,0.0825164126917859,HbO,Zima
69,lTPJ,0.07413161550545082,HbO,Zima
69,ldlPFC,0.05814636966742993,HbO,Zima
69,rTPJ,0.08993700930378554,HbO,Zima
69,rdlPFC,0.0736213390899677,HbO,Zima
69,vmPFC,0.04901515452102601,HbO,Zima
70,dmPFC,0.04595506780238377,HbO,Zima
70,lTPJ,0.05234266654475628,HbO,Zima
70,ldlPFC,0.057431732584495895,HbO,Zima
70,rTPJ,0.025136957243173875,HbO,Zima
70,rdlPFC,0.04308336229517758,HbO,Zima
70,vmPFC,0.048001633022112064,HbO,Zima
71,dmPFC,0.043459271105549833,HbO,Zima
71,lTPJ,0.07560803543833043,HbO,Zima
71,ldlPFC,0.05836830499844691,HbO,Zima
71,rTPJ,0.08286930681119846,HbO,Zima
71,rdlPFC,0.06533539644916778,HbO,Zima
71,vmPFC,0.07860416771962615,HbO,Zima
73,dmPFC,-0.016829499895997996,HbO,Zima
73,lTPJ,0.022538314861782902,HbO,Zima
73,ldlPFC,-0.016819415484050682,HbO,Zima
73,rTPJ,0.00803941361353619,HbO,Zima
73,rdlPFC,-0.0185448370228716,HbO,Zima
73,vmPFC,-0.05376815910447796,HbO,Zima
75,dmPFC,0.24515082583009556,HbO,Zima
75,lTPJ,Inf,HbO,Zima
75,ldlPFC,Inf,HbO,Zima
75,rTPJ,Inf,HbO,Zima
75,rdlPFC,0.24589657340764923,HbO,Zima
75,vmPFC,Inf,HbO,Zima
76,dmPFC,0.05349136763050351,HbO,Zima
76,lTPJ,0.06902084641281339,HbO,Zima
76,ldlPFC,0.0700587451399185,HbO,Zima
76,rTPJ,0.06031735833757007,HbO,Zima
76,rdlPFC,0.06406685226761188,HbO,Zima
76,vmPFC,0.04522311110342157,HbO,Zima
80,dmPFC,0.09031559513328671,HbO,Zima
80,lTPJ,0.06968361309509051,HbO,Zima
80,ldlPFC,0.0870245209670334,HbO,Zima
80,rTPJ,0.12041608082751422,HbO,Zima
80,rdlPFC,0.09098597492978919,HbO,Zima
80,vmPFC,0.08839323832276491,HbO,Zima
81,dmPFC,0.04755604274428389,HbO,Zima
81,lTPJ,0.06944765581874365,HbO,Zima
81,ldlPFC,0.03558386782456674,HbO,Zima
81,rTPJ,0.07873992780004284,HbO,Zima
81,rdlPFC,0.04632175886001399,HbO,Zima
81,vmPFC,0.03601730197680238,HbO,Zima
82,dmPFC,0.06743635728557064,HbO,Zima
82,lTPJ,0.09152907412259116,HbO,Zima
82,ldlPFC,0.09710693706421818,HbO,Zima
82,rTPJ,0.0760276257075048,HbO,Zima
82,rdlPFC,0.07627691888791244,HbO,Zima
82,vmPFC,0.08369158756874828,HbO,Zima
84,dmPFC,0.0855601165731233,HbO,Zima
84,lTPJ,0.06893800089212065,HbO,Zima
84,ldlPFC,0.039451177908529526,HbO,Zima
